simu_time,a1_x,positon_x_t,positon_x_t+1,distance_in_x
905177,0,7.45E-08,-2.09E-07,2.835E-07
905196,9.786601645,-2.09E-07,4.98E-05,0.000050009
905206,15.99841303,4.98E-05,0.000149786,0.000099986
905218,9.650982458,0.000149786,0.000299796,0.00015001
905227,9.792911355,0.000299796,0.000499785,0.000199989
905236,9.808180388,0.000499785,0.000749797,0.000250012
905244,9.809788782,0.000749797,0.001049787,0.00029999
905254,9.809985291,0.001049787,0.001411244,0.000361457
905263,9.810000192,0.001411244,0.001811251,0.000400007
905272,9.810000192,0.001811251,0.002261251,0.00045
905282,9.810000192,0.002261251,0.002761245,0.000499994
905292,9.81000578,0.002761245,0.003311247,0.000550002
905301,9.809993673,0.003311247,0.003911257,0.00060001
905310,9.810000192,0.003911257,0.004561245,0.000649988
905319,9.810000192,0.004561245,0.005270049,0.000708804
905328,9.810000192,0.005270049,0.006020039,0.00074999
905337,9.810006711,0.006020039,0.006820038,0.000799999
905346,9.809985291,0.006820038,0.007670045,0.000850007
905355,9.810007643,0.007670045,0.008570045,0.0009
905364,9.810000192,0.008570045,0.009520039,0.000949994
905372,9.810000192,0.009520039,0.010520041,0.001000002
905381,9.809992742,0.010520041,0.011573985,0.001053944
905390,9.810007643,0.011573985,0.012673989,0.001100004
905400,9.810000192,0.012673989,0.013823986,0.001149997
905409,9.810000192,0.013823986,0.015023991,0.001200005
905417,9.809992742,0.015023991,0.016273975,0.001249984
905425,9.810007643,0.016273975,0.017573982,0.001300007
905434,9.810006711,0.017573982,0.018923983,0.001350001
905443,9.809994604,0.018923983,0.020323992,0.001400009
905453,9.810000192,0.020323992,0.021776706,0.001452714
905462,9.810000192,0.021776706,0.023276716,0.00150001
905472,9.809992742,0.023276716,0.024826705,0.001549989
905481,9.810014162,0.024826705,0.026426703,0.001599998
905491,9.809993673,0.026426703,0.028076708,0.001650005
905505,9.810000192,0.028076708,0.029776707,0.001699999
905514,9.810000192,0.029776707,0.031526715,0.001750008
905523,9.810000192,0.031526715,0.033334732,0.001808017
905531,9.810000192,0.033334732,0.035184726,0.001849994
905541,9.810000192,0.035184726,0.037084728,0.001900002
905553,9.810000192,0.037084728,0.039034724,0.001949996
905561,9.809992742,0.039034724,0.041034728,0.002000004
905571,9.810015093,0.041034728,0.043084711,0.002049983
905581,9.809992742,0.043084711,0.045184731,0.00210002
905594,9.810000192,0.045184731,0.047345966,0.002161235
905603,9.809992742,0.047345966,0.049545959,0.002199993
905611,9.810007643,0.049545959,0.051795959,0.00225
905620,9.810000192,0.051795959,0.054095954,0.002299995
905630,9.810000192,0.054095954,0.056445956,0.002350002
905640,9.810000192,0.056445956,0.058845952,0.002399996
905650,9.810000192,0.058845952,0.061295956,0.002450004
905659,9.810000192,0.061295956,0.063795954,0.002499998
905668,9.810000192,0.063795954,0.066295952,0.002499998
905677,9.810000192,0.066295952,0.068795949,0.002499997
905687,9.810000192,0.068795949,0.071295962,0.002500013
905696,9.810000192,0.071295962,0.073795959,0.002499997
905705,9.810000192,0.073795959,0.076295957,0.002499998
905715,9.810000192,0.076295957,0.07879594,0.002499983
905725,9.810000192,0.07879594,0.081295967,0.002500027
905736,9.810000192,0.081295967,0.083795965,0.002499998
905745,9.810000192,0.083795965,0.086295962,0.002499997
905753,9.810000192,0.086295962,0.08879596,0.002499998
905762,9.810000192,0.08879596,0.091295958,0.002499998
905772,9.810000192,0.091295958,0.093795955,0.002499997
905782,9.810000192,0.093795955,0.096295953,0.002499998
905792,9.810000192,0.096295953,0.09879595,0.002499997
905801,9.810000192,0.09879595,0.101295948,0.002499998
905810,9.810000192,0.101295948,0.103795946,0.002499998
905819,9.810000192,0.103795946,0.106295958,0.002500012
905830,9.810000192,0.106295958,0.108795956,0.002499998
905839,9.810000192,0.108795956,0.111295953,0.002499997
905849,9.809992742,0.111295953,0.113795951,0.002499998
905859,9.810007643,0.113795951,0.116295964,0.002500013
905868,9.810000192,0.116295964,0.118795961,0.002499997
905877,9.810000192,0.118795961,0.121295959,0.002499998
905887,9.810000192,0.121295959,0.123795956,0.002499997
905899,9.810000192,0.123795956,0.126295954,0.002499998
905910,9.810000192,0.126295954,0.128795952,0.002499998
905919,9.810000192,0.128795952,0.131295964,0.002500012
905929,9.810000192,0.131295964,0.133795962,0.002499998
905939,9.810007643,0.133795962,0.136295974,0.002500012
905947,9.809992742,0.136295974,0.138795972,0.002499998
905956,9.810000192,0.138795972,0.141295955,0.002499983
905966,9.810000192,0.141295955,0.143795982,0.002500027
905976,9.810000192,0.143795982,0.14629595,0.002499968
905986,9.810000192,0.14629595,0.148795977,0.002500027
905994,9.810000192,0.148795977,0.151295975,0.002499998
906003,9.810000192,0.151295975,0.153795972,0.002499997
906013,9.810000192,0.153795972,0.15629597,0.002499998
906023,9.810000192,0.15629597,0.158795953,0.002499983
906032,9.810000192,0.158795953,0.161295965,0.002500012
906041,9.810000192,0.161295965,0.163795978,0.002500013
906051,9.810000192,0.163795978,0.166295975,0.002499997
906061,9.810000192,0.166295975,0.168795973,0.002499998
906071,9.810000192,0.168795973,0.171295956,0.002499983
906080,9.810000192,0.171295956,0.173795968,0.002500012
906089,9.810000192,0.173795968,0.176295981,0.002500013
906098,9.810000192,0.176295981,0.178795964,0.002499983
906107,9.810000192,0.178795964,0.181295976,0.002500012
906115,9.810000192,0.181295976,0.183795959,0.002499983
906123,9.810000192,0.183795959,0.186295971,0.002500012
906131,9.810000192,0.186295971,0.188795969,0.002499998
906140,9.810000192,0.188795969,0.191295967,0.002499998
906149,9.810007643,0.191295967,0.193795979,0.002500012
